a,b,c,ballots,percentage
JANE KIM,LONDON BREED,MARK LENO,57809,22.758
AMY FARAH WEISS,JANE KIM,MARK LENO,22303,8.78
LONDON BREED,,,20430,8.043
ANGELA ALIOTO,LONDON BREED,MARK LENO,17868,7.034
JANE KIM,MARK LENO,,15158,5.967
ANGELA ALIOTO,JANE KIM,MARK LENO,14815,5.832
ANGELA ALIOTO,JANE KIM,LONDON BREED,11594,4.564
LONDON BREED,MARK LENO,,9969,3.925
MARK LENO,,,5725,2.254
ANGELA ALIOTO,LONDON BREED,,4615,1.817
JANE KIM,LONDON BREED,,4266,1.679
ANGELA ALIOTO,ELLEN LEE ZHOU,LONDON BREED,4124,1.624
ANGELA ALIOTO,LONDON BREED,RICHIE GREENBERG,3676,1.447
ANGELA ALIOTO,,,3524,1.387
ELLEN LEE ZHOU,JANE KIM,MARK LENO,3493,1.375
ELLEN LEE ZHOU,JANE KIM,LONDON BREED,3218,1.267
JANE KIM,,,3072,1.209
ELLEN LEE ZHOU,LONDON BREED,MARK LENO,2939,1.157
,,,2618,1.031
LONDON BREED,MARK LENO,RICHIE GREENBERG,2050,0.807
AMY FARAH WEISS,LONDON BREED,MARK LENO,2023,0.796
RICHIE GREENBERG,,,1948,0.767
AMY FARAH WEISS,ANGELA ALIOTO,LONDON BREED,1887,0.743
AMY FARAH WEISS,JANE KIM,LONDON BREED,1734,0.683
ELLEN LEE ZHOU,,,1693,0.666
ANGELA ALIOTO,MARK LENO,,1655,0.652
ANGELA ALIOTO,MARK LENO,RICHIE GREENBERG,1584,0.624
ANGELA ALIOTO,ELLEN LEE ZHOU,RICHIE GREENBERG,1507,0.593
JANE KIM,MARK LENO,RICHIE GREENBERG,1256,0.494
ELLEN LEE ZHOU,LONDON BREED,RICHIE GREENBERG,1238,0.487
ANGELA ALIOTO,LONDON BREED,MICHELLE BRAVO,1164,0.458
ANGELA ALIOTO,ELLEN LEE ZHOU,JANE KIM,1156,0.455
JANE KIM,MARK LENO,MICHELLE BRAVO,1106,0.435
ANGELA ALIOTO,ELLEN LEE ZHOU,MARK LENO,1093,0.43
ELLEN LEE ZHOU,LONDON BREED,,882,0.347
JANE KIM,LONDON BREED,RICHIE GREENBERG,800,0.315
AMY FARAH WEISS,ELLEN LEE ZHOU,LONDON BREED,781,0.307
ANGELA ALIOTO,RICHIE GREENBERG,,779,0.307
LONDON BREED,MARK LENO,MICHELLE BRAVO,769,0.303
AMY FARAH WEISS,ANGELA ALIOTO,MARK LENO,748,0.294
LONDON BREED,RICHIE GREENBERG,,675,0.266
AMY FARAH WEISS,ANGELA ALIOTO,JANE KIM,658,0.259
ELLEN LEE ZHOU,LONDON BREED,MICHELLE BRAVO,656,0.258
ANGELA ALIOTO,MARK LENO,MICHELLE BRAVO,650,0.256
JANE KIM,LONDON BREED,MICHELLE BRAVO,643,0.253
ANGELA ALIOTO,JANE KIM,,633,0.249
AMY FARAH WEISS,LONDON BREED,RICHIE GREENBERG,532,0.209
ANGELA ALIOTO,JANE KIM,RICHIE GREENBERG,515,0.203
ELLEN LEE ZHOU,MARK LENO,RICHIE GREENBERG,499,0.196
AMY FARAH WEISS,ANGELA ALIOTO,ELLEN LEE ZHOU,499,0.196
AMY FARAH WEISS,ANGELA ALIOTO,RICHIE GREENBERG,483,0.19
AMY FARAH WEISS,LONDON BREED,MICHELLE BRAVO,405,0.159
AMY FARAH WEISS,MARK LENO,RICHIE GREENBERG,395,0.156
ANGELA ALIOTO,ELLEN LEE ZHOU,MICHELLE BRAVO,383,0.151
ANGELA ALIOTO,MICHELLE BRAVO,RICHIE GREENBERG,375,0.148
MARK LENO,RICHIE GREENBERG,,361,0.142
LONDON BREED,MICHELLE BRAVO,RICHIE GREENBERG,347,0.137
ELLEN LEE ZHOU,JANE KIM,,341,0.134
ELLEN LEE ZHOU,RICHIE GREENBERG,,329,0.13
AMY FARAH WEISS,ELLEN LEE ZHOU,JANE KIM,329,0.13
ANGELA ALIOTO,ELLEN LEE ZHOU,,317,0.125
ELLEN LEE ZHOU,JANE KIM,RICHIE GREENBERG,314,0.124
ANGELA ALIOTO,JANE KIM,MICHELLE BRAVO,307,0.121
AMY FARAH WEISS,ELLEN LEE ZHOU,RICHIE GREENBERG,298,0.117
MARK LENO,MICHELLE BRAVO,RICHIE GREENBERG,270,0.106
ELLEN LEE ZHOU,MARK LENO,,261,0.103
AMY FARAH WEISS,ELLEN LEE ZHOU,MARK LENO,248,0.098
ELLEN LEE ZHOU,JANE KIM,MICHELLE BRAVO,242,0.095
