a,b,c,ballots,percentage
JANE KIM,MARK LENO,AMY FARAH WEISS,15654,6.163
LONDON BREED,,,14457,5.691
LONDON BREED,MARK LENO,JANE KIM,11937,4.699
MARK LENO,JANE KIM,LONDON BREED,11074,4.36
LONDON BREED,JANE KIM,MARK LENO,10848,4.271
JANE KIM,MARK LENO,LONDON BREED,10484,4.127
MARK LENO,LONDON BREED,JANE KIM,7705,3.033
JANE KIM,MARK LENO,,7112,2.8
MARK LENO,JANE KIM,,6906,2.719
LONDON BREED,MARK LENO,ANGELA ALIOTO,6188,2.436
LONDON BREED,MARK LENO,,5888,2.318
MARK LENO,JANE KIM,ANGELA ALIOTO,5811,2.288
JANE KIM,LONDON BREED,MARK LENO,5761,2.268
LONDON BREED,LONDON BREED,LONDON BREED,5542,2.182
JANE KIM,MARK LENO,ANGELA ALIOTO,4649,1.83
MARK LENO,JANE KIM,AMY FARAH WEISS,4514,1.777
LONDON BREED,JANE KIM,ANGELA ALIOTO,4238,1.668
LONDON BREED,ANGELA ALIOTO,MARK LENO,4231,1.666
MARK LENO,,,3856,1.518
MARK LENO,LONDON BREED,ANGELA ALIOTO,3118,1.227
LONDON BREED,ANGELA ALIOTO,JANE KIM,2981,1.174
LONDON BREED,ANGELA ALIOTO,,2956,1.164
MARK LENO,LONDON BREED,,2899,1.141
,,,2618,1.031
LONDON BREED,JANE KIM,,2440,0.961
ANGELA ALIOTO,,,2010,0.791
JANE KIM,,,1892,0.745
JANE KIM,LONDON BREED,ANGELA ALIOTO,1798,0.708
MARK LENO,ANGELA ALIOTO,LONDON BREED,1715,0.675
MARK LENO,ANGELA ALIOTO,JANE KIM,1670,0.657
MARK LENO,MARK LENO,MARK LENO,1664,0.655
ANGELA ALIOTO,LONDON BREED,MARK LENO,1490,0.587
LONDON BREED,ANGELA ALIOTO,RICHIE GREENBERG,1431,0.563
JANE KIM,MARK LENO,ELLEN LEE ZHOU,1407,0.554
LONDON BREED,ANGELA ALIOTO,ELLEN LEE ZHOU,1406,0.554
ANGELA ALIOTO,ANGELA ALIOTO,ANGELA ALIOTO,1355,0.533
RICHIE GREENBERG,,,1315,0.518
JANE KIM,AMY FARAH WEISS,MARK LENO,1192,0.469
LONDON BREED,ANGELA ALIOTO,AMY FARAH WEISS,1187,0.467
JANE KIM,LONDON BREED,,1145,0.451
ANGELA ALIOTO,MARK LENO,LONDON BREED,1126,0.443
JANE KIM,JANE KIM,JANE KIM,1035,0.407
ANGELA ALIOTO,MARK LENO,JANE KIM,1014,0.399
ANGELA ALIOTO,LONDON BREED,JANE KIM,1010,0.398
ELLEN LEE ZHOU,,,985,0.388
LONDON BREED,JANE KIM,ELLEN LEE ZHOU,984,0.387
MARK LENO,JANE KIM,ELLEN LEE ZHOU,982,0.387
LONDON BREED,MARK LENO,AMY FARAH WEISS,953,0.375
LONDON BREED,ELLEN LEE ZHOU,ANGELA ALIOTO,926,0.365
JANE KIM,ANGELA ALIOTO,MARK LENO,912,0.359
