date,contest_type,votes,turnout,registration,yes,no,district,measure
20180605,governor-primary,244137,253583,481991,,,,
20180605,us-senator-primary,237261,253583,481991,,,,
20180605,us-rep-primary,206729,225360,426647,,,12,
20180605,us-rep-primary,25358,28223,55344,,,14,
20180605,state-assembly-primary,115012,147301,280269,,,17,
20180605,state-assembly-primary,88845,106282,201722,,,19,
20180605,mayor,250868,253583,481991,,,,
20180605,school-superintendent-primary,198846,253583,481991,,,,
20180605,supervisor,33265,36015,56415,,,8,
20180605,state-proposition,237508,253583,481991,189846,47662,,68
20180605,state-proposition,235075,253583,481991,205540,29535,,69
20180605,state-proposition,223105,253583,481991,60764,162341,,70
20180605,state-proposition,225625,253583,481991,190743,34882,,71
20180605,state-proposition,229943,253583,481991,199392,30551,,72
20180605,regional-measure,235195,253583,481991,153812,81383,,3
20180605,local-measure,235210,253583,481991,181638,53572,,A
20180605,local-measure,229784,253583,481991,160214,69570,,B
20180605,local-measure,236284,253583,481991,120199,116085,,C
20180605,local-measure,235357,253583,481991,105746,129611,,D
20180605,local-measure,241037,253583,481991,164844,76193,,E
20180605,local-measure,238964,253583,481991,133190,105774,,F
20180605,local-measure,238133,253583,481991,144686,93447,,G
20180605,local-measure,237331,253583,481991,90334,146997,,H
20180605,local-measure,228779,253583,481991,97863,130916,,I
20161108,us-president,408541,414528,513573,,,,
20161108,us-senator,367708,414528,513573,,,,
20161108,us-rep,338845,368446,455043,,,12,
20161108,us-rep,40996,46082,58530,,,14,
20161108,state-senator,372810,414528,513573,,,11,
20161108,state-assembly,199570,238297,298938,,,17,
20161108,state-assembly,147903,176231,214635,,,19,
20161108,supervisor,31662,36033,43818,,,1,
20161108,supervisor,26769,32682,41720,,,3,
20161108,supervisor,41070,46814,56261,,,5,
20161108,supervisor,35274,40659,48429,,,7,
20161108,supervisor,32043,35793,44492,,,9,
20161108,supervisor,25370,28751,38242,,,11,
20161108,bart-director,19418,27251,37483,,,7,
20161108,bart-director,151955,200721,246195,,,9,
20161108,state-proposition,379982,414528,513573,253655,126327,,51
20161108,state-proposition,375710,414528,513573,297714,77996,,52
20161108,state-proposition,368696,414528,513573,113512,255184,,53
20161108,state-proposition,367637,414528,513573,230934,136703,,54
20161108,state-proposition,383799,414528,513573,278685,105114,,55
20161108,state-proposition,396600,414528,513573,323192,73408,,56
20161108,state-proposition,380169,414528,513573,314007,66162,,57
20161108,state-proposition,379728,414528,513573,330471,49257,,58
20161108,state-proposition,355510,414528,513573,272262,83248,,59
20161108,state-proposition,371779,414528,513573,116852,254927,,60
20161108,state-proposition,365029,414528,513573,190823,174206,,61
20161108,state-proposition,380169,414528,513573,269861,110308,,62
20161108,state-proposition,394127,414528,513573,336849,57278,,63
20161108,state-proposition,397631,414528,513573,295284,102347,,64
20161108,state-proposition,384679,414528,513573,156256,228423,,65
20161108,state-proposition,362841,414528,513573,115100,247741,,66
20161108,state-proposition,388629,414528,513573,296203,92426,,67
20161108,local-measure,362658,414528,513573,289351,73307,,A
20161108,local-measure,361664,414528,513573,291565,70099,,B
