"","date","contest_type","votes","turnout","registration","yes","no","district","measure","short_description","long_description","binding","path","passed","pct_yes"
"24",20181106,"local-measure",257762,273520,500516,211720,46042,NA,"A","Embarcadero Seawall Earthquake Safety Bond","To protect the waterfront, BART and Muni, buildings, historic piers, and roads from earthquakes, flooding and rising seas by: repairing the 100 year old Embarcadero Seawall; strengthening the Embarcadero; and fortifying transit infrastructure and utilities serving residents and businesses; shall the city issue $425,000,000 in bonds, with a duration up to 30 years from the time of issuance, an estimated tax rate of $0.013/$100 of assessed property value, and estimated annual revenues of up to $40,000,000, with citizen oversight and regular audits? The City’s current debt management policy is to keep the property tax rate from City general obligation bonds below the 2006 rate by issuing new bonds as older ones are retired and the tax base grows, though the overall property tax rate may vary based on other factors.",NA,"supervisors",1,0.821377860196616
"25",20181106,"local-measure",240867,273520,500516,136592,104275,NA,"B","City Privacy Guidelines","Shall the City amend the Charter to include privacy guidelines and require the City Administrator to propose a privacy ordinance consistent with the guidelines to the Board of Supervisors?",NA,"supervisors",1,0.567084739711127
"26",20181106,"local-measure",259505,273520,500516,155754,103751,NA,"C","Additional Business Taxes to Fund Homeless Services","Shall the City impose additional business taxes to create a dedicated fund to support services for homeless people and prevent homelessness, including one tax of 0.175% to 0.69% on gross receipts over $50 million that a business receives in San Francisco, and another tax of 1.5% on certain administrative offices’ payroll expense in San Francisco, raising an estimated $250–300 million in combined tax revenues annually, and with no expiration date for these taxes?",NA,"petition",1,0.600196528005241
"27",20181106,"local-measure",255846,273520,500516,168565,87281,NA,"D","Additional Tax on Cannabis Businesses; Expanding the Businesses Subject to Business Taxes","Shall the City impose new cannabis business taxes beginning in 2021, at rates ranging from 1% to 5% on gross receipts of cannabis businesses in San Francisco, where the Board of Supervisors could decrease those rates, or increase them up to 7%; and shall the City apply many of its business taxes to businesses with over $500,000 in gross receipts in San Francisco that do not have a physical presence here; raising an estimated $2–4 million annually in combined tax revenues in 2019 and 2020, and an estimated $7–16 million annually beginning in 2021, and with no expiration date on these newly imposed and applied taxes?",NA,"supervisors",1,0.658853372732034
"28",20181106,"local-measure",254383,273520,500516,189334,65049,NA,"E","Partial Allocation of Hotel Tax for Arts and Cultural Purposes","Shall the City annually distribute up to 1.5% of the current base hotel tax for specific arts and cultural purposes, without increasing the existing hotel tax?",NA,"supervisors",1,0.744287157553767
"44",20180605,"local-measure",235210,253583,481991,181638,53572,NA,"A","Public Utilities Revenue Bonds","Shall the City authorize the San Francisco Public Utilities Commission to issue revenue bonds to build or improve the City’s clean power facilities, with approval by two-thirds of the Board of Supervisors, and prohibit the PUC from financing construction of power plants that generate electricity from fossil fuels or nuclear power?",1,"supervisors",1,0.772237574933039
"45",20180605,"local-measure",229784,253583,481991,160214,69570,NA,"B","Prohibiting Appointed Commissioners from Running for Office","Shall the City require appointed members of boards and commissions established by the Charter to forfeit their appointed seat when they file to run for state or local elective office?",1,"supervisors",1,0.697237405563486
"46",20180605,"local-measure",236284,253583,481991,120199,116085,NA,"C","Additional Tax on Commercial Rents Mostly to Fund Child Care ","Shall the City impose a new gross receipts tax of 1% on revenues a business receives from leasing warehouse space in San Francisco, and 3.5% on revenues a business receives from leasing some commercial spaces in San Francisco, to fund quality early care and education for young children and for other public purposes?",1,"petition",1,0.5087056254338
"47",20180605,"local-measure",235357,253583,481991,105746,129611,NA,"D","Additional Tax on Commercial Rents Mostly to Fund Housing and Homelessness Services","Shall the City impose a new gross receipts tax of 1.7% on revenues a business receives from leasing some commercial spaces in San Francisco, to fund homeless services, housing for extremely low- to middle-income households and for other public purposes?",1,"supervisors",0,0.449300424461563
"48",20180605,"local-measure",241037,253583,481991,164844,76193,NA,"E","Prohibiting Tobacco Retailers from Selling Flavored Tobacco Products","Shall the City ordinance prohibiting the sale of flavored tobacco products in San Francisco take effect?",1,"petition",1,0.683895003671635
